Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Reappearance of Rachel Price,Holly Jackson,,9780593374207,hardcover,read,2025/06/01,2025/06/06,2025/06/01-2025/06/06,1.0,"challenging, dark, emotional, funny, mysterious, reflective, sad",fast,A mix,Yes,It's complicated,No,Yes,5.0,,,,,Yes,1
The Diamond Eye,Kate Quinn,Saskia Maarleveld (Narrator),9780062943538,audio,paused,2025/10/25,,,0.0,,,,,,,,,,,,,No,1
The Ghostwriter,Julie Clark,,9781464221286,hardcover,read,2025/08/06,2025/08/10,2025/08/05-2025/08/10,1.0,"challenging, dark, emotional, mysterious, reflective, sad, tense",medium,A mix,It's complicated,No,No,Yes,5.0,,,,,No,1
The Other Side of Midnight,Simone St. James,,9781101621349,digital,read,2025/09/30,,,1.0,,,,,,,,,,,,,Yes,1
The Five Year Lie,Sarina Bowen,,9780063280601,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
You Between the Lines,Katie Naymon,,9781538768556,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
This Rebel Heart,Katherine Locke,,9780593381243,hardcover,to-read,2025/03/11,,,0.0,,,,,,,,,,,,,No,1
Twilight,Stephenie Meyer,,9780316015844,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
The Moonlight Healers,Elizabeth Becker,,9781525830426,hardcover,read,2025/05/29,2025/05/31,2025/05/29-2025/05/31,1.0,"challenging, emotional, hopeful, inspiring, reflective, sad, tense",medium,A mix,Yes,Yes,It's complicated,It's complicated,5.0,,,,,No,1
The Last Thing He Told Me,Laura Dave,,9781501171345,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,,9781492670124,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
A Stitch in Time,Kelley Armstrong,,9781989046210,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Tourist Season,Brynne Weaver,,9781638932109,hardcover,to-read,2025/09/26,,,0.0,,,,,,,,,,,,,Yes,1
Princess of Blood,Sarah Hawley,,9780593818381,hardcover,to-read,2025/05/05,,,0.0,,,,,,,,,,,,,No,1
