Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Things We Cannot Say,Kelly Rimmer,,9781525831515,hardcover,to-read,2024/04/29,,,0.0,,,,,,,,,,,,,No,3
Divine Rivals,Rebecca Ross,,9781250857439,hardcover,read,2024/01/26,2024/11/11,2024/11/11,1.0,,,,,,,,4.0,,,,tbr-on-my-shelf,Yes,3
The Gate of the Feral Gods,Matt Dinniman,,B093DJ7F3C,digital,read,2025/12/15,2025/12/30,2025/12/15-2025/12/30,1.0,,,,,,,,4.5,,,,,No,3
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,,168369144X,digital,read,2024/06/01,2025/01/30,2025/01/27-2025/01/30,1.0,"dark, tense",slow,Character,No,No,No,Yes,2.75,,,,tbr-on-my-shelf,Yes,3
Wolf Gone Wild,Juliette Cross,,9781087848563,paperback,read,2024/02/19,2024/03/27,2024/03/27,1.0,,,,,,,,3.0,,,,,No,3
The Dark Becomes Her,Judy I. Lin,,9781368099097,hardcover,to-read,2024/04/29,,,0.0,,,,,,,,,,,,upcoming-release,No,3
The Cemetery of Untold Stories,Julia Alvarez,,9781643753843,hardcover,to-read,2024/03/27,,,0.0,,,,,,,,,,,,,No,3
Bromantasy,Máire Roche,,9798217180714,digital,to-read,2026/01/03,,,0.0,,,,,,,,,,,,,No,3
The Wishing Game,Meg Shaﬀer,,9780593598832,hardcover,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,3
A Man Called Ove,Fredrik Backman,Henning Koch (Translat,9781476738017,hardcover,to-read,2024/05/29,,,0.0,,,,,,,,,,,,,No,3
The Hollow Places,T. Kingfisher,,9781534451148,digital,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
The Wolf and the Wildflower,Stacy Reid,,9798378521623,paperback,to-read,2024/03/30,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
The Zookeeper's Wife,Diane Ackerman,,9780393333060,paperback,read,2015/05/29,,,1.0,,,,,,,,,,,,,No,3
Electric Idol,Katee Robert,,9781728231761,paperback,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
Black Ties & White Lies,Kat Singleton,,,digital,to-read,2024/07/17,,,0.0,,,,,,,,,,,,,No,3
Love and Other Words,Christina Lauren,,9781501190537,hardcover,read,2024/02/21,2024/03/10,2024/03/10,1.0,,,,,,,,5.0,,,,,No,3
The Teller of Small Fortunes,Julie Leong,,9780593815915,paperback,read,2024/11/13,2025/01/18,2025/01/18,1.0,,,,,,,,3.0,,,,,No,3
They Both Die at the End,Adam Silvera,,9780062457790,hardcover,read,2025/08/16,2025/08/20,2025/08/16-2025/08/20,2.0,"emotional, funny, hopeful, sad",,,,,,,3.75,,,,,No,3
Gwen and Art Are Not in Love,Lex Croucher,,9781250847218,hardcover,to-read,2024/12/27,,,0.0,,,,,,,,,,,,,No,3
The Girl in The Tower,Katherine Arden,,9781785031069,hardcover,to-read,2026/03/10,,,0.0,,,,,,,,,,,,,No,3
"Snotgirl, Vol. 3: Is This Real Life?",Bryan Lee O’Malley,Leslie Hung (Illustrator),9781534315235,paperback,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
The Forgotten Witch,Jessica Dodge,,9781737696636,digital,to-read,2024/03/28,,,0.0,,,,,,,,,,,,,No,3
The Girl and the Goddess: Stories and Poems of Divine Wisdom,Nikita Gill,,9780593085660,paperback,to-read,2024/02/01,,,0.0,,,,,,,,,,,,,No,3
The Tarot Trials,Katee Robert,,9781250412331,digital,to-read,2026/03/12,,,0.0,,,,,,,,,,,,,No,3
Broodmother,Vesper Doom,,9798329005929,digital,read,2024/11/16,2024/11/16,2024/11/16,1.0,,,,,,,,5.0,,,,,No,3
Satan's Aﬀair,H.D. Carlton,,9781957635071,hardcover,read,2024/10/13,2024/10/14,2024/10/14,1.0,,,,,,,,,,,,,No,3
"Snotgirl, Vol. 1: Green Hair Don't Care","Bryan Lee O’Malley, Lesli",Mickey Quinn (Illustrato,9781534300361,paperback,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
My Best Friend's Exorcism,Grady Hendrix,,B014BQVMGE,digital,read,2024/07/30,2024/08/28,2024/08/28,1.0,,,,,,,,3.0,,,,,No,3
The It Girl,Ruth Ware,,9781398513563,audio,read,2024/01/05,2024/01/05,2024/01/05,1.0,,,,,,,,3.0,The story was really good and I would give it 5 stars if they did another edit to remove all the “fluﬀ”. It’s long for no reason.,,,,No,3
Two Twisted Crowns,Rachel Gillig,,9780356519500,paperback,read,2024/04/08,2024/04/28,2024/04/28,1.0,,,,,,,,5.0,,,,,No,3
Bright Young Women,Jessica Knoll,,9781501153228,hardcover,read,2025/04/29,2025/05/01,2025/04/29-2025/05/01,1.0,,,,,,,,5.0,,,,,No,3
Extremely Loud and Incredibly Close,Jonathan Safran Foer,,9780618711659,paperback,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
Hell Bent,Leigh Bardugo,,9781250313102,hardcover,read,2024/01/08,2025/07/03,2025/06/25-2025/07/03,1.0,,,,,,,,3.0,,,,tbr-on-my-shelf,Yes,3
A Game of Love and Betrayal,Elayna R. Gallea,,9781998219094,digital,to-read,2024/06/30,,,0.0,,,,,,,,,,,,,No,3
A Touch of Darkness,Scarlett St. Clair,,,digital,read,2024/01/11,2024/07/11,2024/07/11,1.0,,,,,,,,2.0,,,,,No,3
The Briar Book of the Dead,A.G. Slatter,,9781803364551,digital,to-read,2024/12/03,,,0.0,,,,,,,,,,,,,No,3
An Education in Malice,S.T. Gibson,,9780356519326,hardcover,read,2024/02/03,2024/03/06,2024/03/06,1.0,,,,,,,,3.0,,,,,No,3
The Prince and the Dressmaker,Jen Wang,,9781626723634,paperback,read,2025/10/08,,,1.0,,,,,,,,5.0,,,,,No,3
Delicious Monsters,Liselle Sambury,,9781665903493,hardcover,to-read,2024/03/08,,,0.0,,,,,,,,,,,,,No,3
Return to the DallerGut Dream Department Store,Miye Lee,Sandy Joosun Lee (Tra,9781035412778,paperback,to-read,2026/02/08,,,0.0,,,,,,,,,,,,,No,3
The Book of Lost Names,Kristin Harmel,,9781982152369,paperback,to-read,2024/02/01,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
We Deserve Monuments,Jas Hammonds,,9781250816559,hardcover,to-read,2025/04/04,,,0.0,,,,,,,,,,,,,No,3
My Vampire Plus-One,Jenna Levine,,9780593548936,paperback,read,2024/06/11,2024/10/01,2024/10/01,1.0,,,,,,,,3.0,,,,upcoming-release,No,3
Home Body,Rupi Kaur,,9781982172459,paperback,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
A Power Unbound,Freya Marske,,9781250788955,hardcover,to-read,2024/01/17,,,0.0,,,,,,,,,,,,,No,3
Dance Dance Dance,Haruki Murakami,Alfred Birnbaum (Transl,9780099448761,paperback,read,2015/05/29,,,1.0,,,,,,,,,,,,,No,3
The Soulmate Equation,Christina Lauren,,9781982171117,paperback,to-read,2024/06/01,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
"Georgie, All Along",Kate Clayborn,,9781496737298,paperback,read,2024/02/19,2025/04/07,2025/04/06-2025/04/07,1.0,"emotional, funny, lighthearted",medium,Character,Yes,Yes,No,Yes,4.25,,,,tbr-on-my-shelf,Yes,3
Dungeons and Drama,Kristy Boyce,,9780593647011,paperback,read,2024/05/31,2024/05/31,2024/05/31,1.0,,,,,,,,4.0,,,,,No,3
Faithbreaker,Hannah Kaner,,9780063350144,paperback,to-read,2024/07/10,,,0.0,,,,,,,,,,,,,Yes,3
Rewitched,Lucy Jane Wood,,9781035045457,hardcover,read,2025/10/20,2025/10/28,2025/10/20-2025/10/28,1.0,"adventurous, lighthearted",slow,,,,,,3.0,,,,,No,3
Rabbits in the Garden,Jessica McHugh,,9780615444130,paperback,to-read,2024/06/29,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
The Magic of Untamed Hearts,Raquel Vasquez Gilliland,,9780593952498,digital,to-read,2026/01/14,,,0.0,,,,,,,,,,,,,No,3
Angry White Men: American Masculinity at the End of an Era,Michael S. Kimmel,,9781568586960,hardcover,read,2015/05/29,,,1.0,,,,,,,,,,,,,No,3
"Hades: Myth, Magic & Modern Devotion",Jamie Waggoner,Morpheus Ravenna (Co,9780738775753,paperback,to-read,2024/04/11,,,0.0,,,,,,,,,,,,,No,3
One by One,Freida McFadden,,9781728296191,paperback,read,2024/07/30,2024/08/01,2024/08/01,1.0,,,,,,,,1.0,,,,,No,3
Something in the Walls,Daisy Pearce,,9781250334381,hardcover,to-read,2024/07/30,,,0.0,,,,,,,,,,,,,No,3
Nightshade and Oak,Molly O'Neill,,9780316584272,paperback,to-read,2026/02/01,,,0.0,,,,,,,,,,,,,No,3
The Warsaw Orphan,Kelly Rimmer,,9781525895999,paperback,to-read,2024/02/08,,,0.0,,,,,,,,,,,,,No,3
Apprentice to the Villain,Hannah Nicole Maehrer,,9781529917765,digital,read,2024/08/18,2024/12/06,2024/12/06,1.0,,,,,,,,4.0,,,,,No,3
The Most Wonderful Crime of the Year,Ally Carter,,9780063276680,hardcover,read,2024/06/11,2024/12/13,2024/12/13,1.0,,,,,,,,5.0,,,,,No,3
Together We Rot,Skyla Arndt,,9780593526279,hardcover,read,2024/01/05,2024/01/14,2024/01/14,1.0,,,,,,,,4.0,,,,,No,3
The Dark We Know,Wen-yi Lee,,9781638930587,hardcover,to-read,2024/06/11,,,0.0,,,,,,,,,,,,,No,3
The Crimson Moth,Kristen Ciccarelli,,9780008650568,hardcover,to-read,2024/03/08,,,0.0,,,,,,,,,,,,,No,3
Howl's Moving Castle,Diana Wynne Jones,,9780064410342,paperback,to-read,2025/09/27,,,0.0,,,,,,,,,,,,,No,3
An Impossible Impostor,Deanna Raybourn,,9780593197295,hardcover,to-read,2024/03/14,,,0.0,,,,,,,,,,,,,No,3
Compass Points,Jillian Witt,,9798988560319,paperback,to-read,2024/02/26,,,0.0,,,,,,,,,,,,,No,3
Gathering Blue,Lois Lowry,,9780385732567,paperback,read,2015/05/29,,,1.0,,,,,,,,1.0,,,,,No,3
Mad Honey,"Jennifer Finney Boylan, Jodi Picoult",,9781984818386,hardcover,to-read,2024/05/23,,,0.0,,,,,,,,,,,,,No,3
Loathe to Love You,Ali Hazelwood,,9781408726778,paperback,to-read,2024/12/31,,,0.0,,,,,,,,,,,,,Yes,3
Blood on Her Tongue,Johanna van Veen,,9781728281575,paperback,read,2024/07/28,2025/04/14,2025/04/11-2025/04/14,1.0,"challenging, dark, emotional",slow,A mix,Yes,It's complicated,No,Yes,4.25,,,,,No,3
Luckenbooth,Jenni Fagan,,9780099592198,paperback,to-read,2025/04/04,,,0.0,,,,,,,,,,,,,No,3
Juniper & Thorn,Ava Reid,,9780062973177,paperback,read,2024/06/11,,,1.0,,,,,,,,,,,,,No,3
A House with Good Bones,T. Kingfisher,,9781250829795,hardcover,read,2024/01/05,2024/03/19,2024/03/19,1.0,,,,,,,,5.0,,,,,No,3
A Short Walk Through a Wide World,Douglas Westerbeke,,9781668026069,hardcover,to-read,2024/03/27,,,0.0,,,,,,,,,,,,,No,3
Play Nice,Rachel Harrison,,9780593642573,hardcover,read,2025/01/04,2025/09/15,2025/09/14-2025/09/15,1.0,,,,,,,,3.0,,,,,No,3
The Bad Ones,Melissa Albert,,9781250894892,hardcover,read,2024/06/29,2024/07/08,2024/07/08,1.0,,,,,,,,4.0,,,,,No,3
Yes Please,Amy Poehler,,9780062268341,hardcover,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
The Love Hypothesis,Ali Hazelwood,,9780593336823,paperback,read,2024/01/05,2024/01/12,2024/01/12,1.0,,,,,,,,4.0,One of those books you start at 3:30pm and then realize that what feels like 20min later is actually  1:40am and you finished it. Highly recommend!,,,,No,3
Starter Villain,John Scalzi,,9780765389220,hardcover,to-read,2024/12/15,,,0.0,,,,,,,,,,,,,No,3
Wake Up and Open Your Eyes,Clay McLeod Chapman,,9781683693956,hardcover,read,2024/11/30,2025/02/15,2025/02/12-2025/02/15,1.0,"challenging, dark, tense",fast,A mix,It's complicated,It's complicated,It's complicated,It's complicated,3.75,,,,,No,3
Predatory Natures,Amy Goldsmith,,9780593814314,hardcover,to-read,2024/06/30,,,0.0,,,,,,,,,,,,,No,3
The Last Council,Kazu Kibuishi,,9780545208871,paperback,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
Exquisite Hunger,Emma E. Murray,Caitlin Marceau (Illustrator),,paperback,to-read,2024/07/18,,,0.0,,,,,,,,,,,,,No,3
The Next Best Fling,Gabriella Gamez,,9781538726631,paperback,to-read,2024/07/09,,,0.0,,,,,,,,,,,,,No,3
The Thorns Remain,J.J.A. Harwood,,9780008517939,digital,to-read,2024/01/26,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
Dating and Dragons,Kristy Boyce,,9780593899205,paperback,read,2024/12/27,2025/04/29,2025/04/27-2025/04/29,1.0,"adventurous, funny, lighthearted",medium,Character,Yes,Yes,Yes,It's complicated,4.5,,,,,Yes,3
A Holly Jolly Ever After,"Julie Murphy, Sierra Simone",,9780063222649,hardcover,read,2024/06/28,2024/12/23,2024/12/23,1.0,,,,,,,,2.0,,,,,No,3
Number the Stars,Lois Lowry,,9780440227533,paperback,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
The Grace Year,Kim Liggett,,9781250145444,hardcover,read,2025/08/09,2025/08/09,2025/08/08-2025/08/09,1.0,,,,,,,,5.0,,,,,No,3
Such Sharp Teeth,Rachel Harrison,,9780593545829,hardcover,to-read,2024/07/30,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
The Woman in the Dark,Vanessa Savage,,9781538714294,hardcover,read,2024/06/01,2024/08/11,2024/08/11,1.0,,,,,,,,3.0,"This is a solid 3.5, but I couldn’t decide on 3 or 4 stars. I rounded down because of how repetitive it got. This would be a good movie because they’d cut out the fluﬀ. If you like a domestic thriller, you’ll enjoy it!",,,,No,3
A Walk in the Wood: Meditations on Mindfulness with a Bear Named Pooh,"Joseph Parent, Nancy Pa",Joseph Parent (Narrato,9781684413980,audio,to-read,2024/02/02,,,0.0,,,,,,,,,,,,,No,3
Ninth House,Leigh Bardugo,,9781250313072,hardcover,read,2024/02/29,2024/09/09,2024/09/09,1.0,,,,,,,,4.0,,,,tbr-on-my-shelf,Yes,3
Accomplice to the Villain,Hannah Nicole Maehrer,,9781529917772,digital,read,2024/12/02,2025/08/13,2025/08/05-2025/08/13,1.0,,,,,,,,4.0,,,,,No,3
The Elsewhere Express,Samantha Sotto Yambao,,9780593725023,hardcover,read,2026/02/13,2026/02/20,2026/02/12-2026/02/20,1.0,,,,,,,,5.0,,,,,No,3
Give Me Butterflies,Jillian Meadows,,9780063416161,paperback,read,2024/12/31,2025/01/27,2025/01/24-2025/01/27,1.0,"emotional, funny, hopeful",medium,,,,,,4.25,,,,,No,3
What Kind of Mother: A Novel,Clay McLeod Chapman,,9781683694335,paperback,to-read,2026/02/04,,,0.0,,,,,,,,,,,,,No,3
The Cloud Searchers,Kazu Kibuishi,,9780545208857,paperback,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
Surviving Hitler: A Boy in the Nazi Death Camps,Andrea Warren,,9780060007676,paperback,to-read,2024/04/24,,,0.0,,,,,,,,,,,,,No,3
Hare House,Sally Hinchcliﬀe,,9781529061635,hardcover,to-read,2025/04/04,,,0.0,,,,,,,,,,,,,No,3
A Sweet Sting of Salt,Rose Sutherland,,9780593594599,paperback,to-read,2024/03/27,,,0.0,,,,,,,,,,,,,No,3
The Folklore of Forever,Sarah Hogle,,9780593715079,paperback,to-read,2026/02/16,,,0.0,,,,,,,,,,,,,No,3
The House Across the Lake,Riley Sager,,9780593183199,hardcover,to-read,2026/03/01,,,0.0,,,,,,,,,,,,,No,3
Masters of Death,Olivie Blake,,,paperback,to-read,2024/08/01,,,0.0,,,,,,,,,,,,,Yes,3
Violet Thistlewaite Is Not a Villain Anymore,Emily Krempholtz,,9780593954300,paperback,read,2025/11/24,2025/11/27,2025/11/24-2025/11/27,1.0,,,,,,,,3.5,,,,,No,3
The Wand,Marieke Lexmond,,9781667810355,digital,to-read,2024/06/15,,,0.0,,,,,,,,,,,,,No,3
Under Loch and Key,Lana Ferguson,,9780593816868,digital,read,2024/07/21,2024/12/27,2024/12/27,1.0,,,,,,,,4.0,,,,,No,3
Paladin's Grace,T. Kingfisher,,2940163907250,digital,read,2024/07/30,2025/04/05,2025/03/31-2025/04/05,1.0,"adventurous, funny, lighthearted",slow,,,,,,3.0,,,,,No,3
The Unfortunate Side Eﬀects of Heartbreak and Magic,Breanne Randall,,9781639105731,paperback,read,2025/02/13,2025/02/20,2025/02/13-2025/02/20,1.0,"emotional, hopeful, inspiring",slow,Character,Yes,Yes,No,Yes,4.0,,,,,No,3
A Resistance of Witches,Morgan Ryan,,9780593831960,hardcover,read,2025/09/08,2025/09/11,2025/09/08-2025/09/11,1.0,,,,,,,,3.75,,,,,No,3
Dead & Breakfast,"Kat Hillis, Rosiee Thor",,,paperback,read,2025/10/28,2025/11/16,2025/10/28-2025/11/16,1.0,"funny, lighthearted, mysterious",medium,,,,,,4.0,,,,,No,3
The Lust Crusade,Jo Segura,,9780593953280,paperback,to-read,2026/02/07,,,0.0,,,,,,,,,,,,,No,3
The Hemlock Queen,Hannah Whitten,,9780356521558,hardcover,read,2024/04/17,2024/06/29,2024/06/29,1.0,,,,,,,,3.0,,,,,No,3
One of Us Is Dead,Jeneva Rose,,9798200706846,hardcover,to-read,2026/01/30,,,0.0,,,,,,,,,,,,,No,3
The Entanglement of Rival Wizards,Sara Raasch,,9781250333230,paperback,read,2025/09/12,2025/09/14,2025/09/11-2025/09/14,1.0,,,,,,,,5.0,,,,,No,3
Gothikana,RuNyx,Scarlett Dorian (Narrato,B0BN4N79M4,audio,read,2024/01/30,2024/02/17,2024/02/17,1.0,,,,,,,,4.0,"The writing needs some work and leaves you wanting a bit more, but I really enjoyed the story. It gave me phantom of the opera meets dark academia vibes. The mentally unstable girl finding her foundation or her “mountain” was relatable, which probably why I have this 4 stars instead of 3.",,,,No,3
A Haunting on the Hill,Elizabeth Hand,,9780316527323,hardcover,to-read,2024/05/05,,,0.0,,,,,,,,,,,,,No,3
The Village Library Demon-Hunting Society,C.M. Waggoner,,9781984805881,paperback,read,2025/05/19,2025/05/22,2025/05/19-2025/05/22,1.0,"adventurous, funny, mysterious",fast,A mix,Yes,Yes,Yes,It's complicated,4.0,,,,,No,3
Unbecoming a Lady: The Forgotten Sluts and Shrews That Shaped America,Therese Oneill,,9781982199708,hardcover,to-read,2024/09/01,,,0.0,,,,,,,,,,,,,No,3
The Bridge Kingdom,Danielle L. Jensen,,9780593975183,paperback,read,2024/12/15,2025/01/24,2025/01/24,1.0,"adventurous, funny",medium,Character,Yes,Yes,No,No,3.75,,,,,No,3
Haunting Adeline,H.D. Carlton,,B09CLVJJ77,digital,read,2024/02/05,2024/04/18,2024/04/18,1.0,,,,,,,,3.0,,,,,No,3
Remarkably Bright Creatures,Shelby Van Pelt,,9780063204157,hardcover,read,2024/02/01,,,1.0,,,,,,,,,,,,,No,3
Two Sides to Every Murder,Danielle Valentine,,9780593352052,hardcover,to-read,2024/07/30,,,0.0,,,,,,,,,,,,,No,3
The Bookshop: A History of the American Bookstore,Evan Friss,,9780593299920,hardcover,to-read,2024/07/30,,,0.0,,,,,,,,,,,,,No,3
Harry Potter and the Half-Blood Prince,J.K. Rowling,,9781408855706,paperback,read,2024/02/29,,,1.0,,,,,,,,,,,,,No,3
Shady Hollow,Juneau Black,,9780593315712,paperback,read,2024/11/07,2024/12/01,2024/12/01,1.0,,,,,,,,3.0,,,,,No,3
The Chalk Man,C.J. Tudor,,9781524760984,hardcover,to-read,2024/12/03,,,0.0,,,,,,,,,,,,,No,3
First-Time Caller,B.K. Borison,,9780593641194,paperback,read,2026/02/06,2026/02/12,2026/02/06-2026/02/12,1.0,,,,,,,,5.0,,,,,No,3
The Lost: A Novel,Sarah Beth Durst,,,digital,to-read,2026/02/07,,,0.0,,,,,,,,,,,,,No,3
The Gathering,C.J. Tudor,,9780593356593,hardcover,to-read,2024/12/03,,,0.0,,,,,,,,,,,,,No,3
Flowerheart,Catherine Bakewell,,9780063214590,hardcover,to-read,2025/04/04,,,0.0,,,,,,,,,,,,,No,3
Ask for Andrea,Noelle W. Ihli,,B09QLPG1SY,digital,read,2026/02/01,2026/02/06,2026/01/31-2026/02/06,1.0,,,,,,,,4.5,,,,,No,3
Carl's Doomsday Scenario,Matt Dinniman,,B08PBCD9Y7,digital,read,2025/10/03,2025/10/13,2025/10/03-2025/10/13,1.0,,,,,,,,4.0,,,,,No,3
Dishonestly Yours,"Krista Ritchie, Becca Ritchie",,9781035024421,digital,to-read,2024/05/12,,,0.0,,,,,,,,,,,,,No,3
Forged in Blood,Sadie Kincaid,June DeBorahae (Narra,B0DPGMRWBP,audio,to-read,2025/04/05,,,0.0,,,,,,,,,,,,,No,3
The Halcyon Fairy Book,T. Kingfisher,,9781610373265,hardcover,to-read,2024/08/23,,,0.0,,,,,,,,,,,,,No,3
A Darker Mischief,Derek Milman,,9781339009933,hardcover,to-read,2024/12/01,,,0.0,,,,,,,,,,,,,No,3
A Proposal to Die For,Molly Harper,,9780593817322,paperback,to-read,2026/01/31,,,0.0,,,,,,,,,,,,,No,3
The Paradise Problem,Christina Lauren,,9781668017722,hardcover,to-read,2024/03/27,,,0.0,,,,,,,,,,,,,Yes,3
A Sinister Revenge,Deanna Raybourn,,9780593545928,hardcover,to-read,2024/03/14,,,0.0,,,,,,,,,,,,,No,3
Meddling Kids,Edgar Cantero,,9780385541992,hardcover,read,2024/07/21,2024/07/25,2024/07/25,1.0,,,,,,,,4.0,,,,,No,3
Witch of Wild Things,Raquel Vasquez Gilliland,,9780593548578,paperback,read,2024/01/26,2024/04/21,2024/04/21,1.0,,,,,,,,4.0,,,,,No,3
Lady Macbeth,Ava Reid,,9781529910476,hardcover,to-read,2024/02/08,,,0.0,,,,,,,,,,,,,Yes,3
All the Lies,Nicola Sanders,,9798685797964,paperback,read,2025/11/13,2025/11/16,2025/11/13-2025/11/16,1.0,,,,,,,,3.0,,,,,No,3
The Seventh Bride,T. Kingfisher,,B00XPNFDQK,digital,to-read,2024/08/23,,,0.0,,,,,,,,,,,,,No,3
A Sorceress Comes to Call,T. Kingfisher,,9781250244079,hardcover,read,2024/05/03,2024/09/07,2024/09/07,1.0,,,,,,,,5.0,,,,upcoming-release,No,3
Sisters of the Lost Nation,Nick Medina,,9780593546857,hardcover,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,3
The Game Changer,Lana Ferguson,,9780593816837,paperback,read,2024/07/13,2024/07/21,2024/07/21,1.0,,,,,,,,4.0,,,,,No,3
Sword Catcher,Cassandra Clare,,9780525620013,paperback,to-read,2024/07/30,,,0.0,,,,,,,,,,,,,No,3
"Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics",Lara Parker,,9781250240682,paperback,to-read,2024/02/01,,,0.0,,,,,,,,,,,,,No,3
Brazen and the Beast,Sarah MacLean,,9780062691989,digital,read,2024/03/29,2024/04/08,2024/04/08,1.0,,,,,,,,3.0,,,,,No,3
The Arsenic Eater's Wife,Tonya Mitchell,,9781504093606,digital,to-read,2024/03/15,,,0.0,,,,,,,,,,,,,No,3
Boys With Sharp Teeth,Jenni Howell,,9781250334596,hardcover,read,2024/07/11,2025/05/26,2025/05/22-2025/05/26,1.0,,,,,,,,,,,,,No,3
Spells Like Teen Spirit,Kate Williams,,9780593304822,hardcover,to-read,2024/10/14,,,0.0,,,,,,,,,,,,,No,3
Promised in Blood,Sadie Kincaid,,,digital,to-read,2025/01/04,,,0.0,,,,,,,,,,,,,No,3
Unbreakable Bond,Jess Bryant,,B07D2H7RF3,digital,to-read,2024/06/23,,,0.0,,,,,,,,,,,,,No,3
Five Chimneys: A Woman Survivor's True Story of Auschwitz,Olga Lengyel,,9780897333764,paperback,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,3
The Book Swap,Tessa Bickers,,9781525836701,hardcover,to-read,2024/09/09,,,0.0,,,,,,,,,,,,,No,3
The Fake Mate,Lana Ferguson,,9780593549377,paperback,read,2024/01/11,2024/02/01,2024/02/01,1.0,,,,,,,,4.0,,,,,No,3
Prince of the Elves,Kazu Kibuishi,,9780545208895,paperback,read,2015/05/29,,,1.0,,,,,,,,5.0,,,,,No,3
The Possession of Alba Díaz,Isabel Cañas,,9780593641071,hardcover,to-read,2024/11/30,,,0.0,,,,,,,,,,,,,No,3
My Darling Dreadful Thing,Johanna van Veen,,9781728281544,paperback,read,2024/01/05,2024/05/17,2024/05/17,1.0,,,,,,,,5.0,,,,,No,3
A Lesson in Vengeance,Victoria Lee,,9780593305829,hardcover,read,2024/06/01,2024/07/06,2024/07/06,1.0,,,,,,,,3.0,,,,,No,3
A Dance with the Fae Prince,Elise Kova,,9781949694291,digital,read,2024/11/25,2025/04/09,2025/04/07-2025/04/09,1.0,"adventurous, funny, hopeful",slow,A mix,Yes,Yes,No,,4.0,,,,,No,3
Daring and the Duke,Sarah MacLean,,9780062691996,digital,to-read,2024/03/29,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
The Knight and the Moth,Rachel Gillig,,9780356522968,hardcover,read,2024/10/16,2025/06/05,2025/05/24-2025/06/05,1.0,,slow,,,,,,3.0,,,,,No,3
Between,L.L. Starling,"Louisa Gallie (Illustrator), Rebecca Morse",,digital,to-read,2024/03/17,,,0.0,,,,,,,,,,,,,No,3
We Used to Live Here,Marcus Kliewer,,9781982198787,hardcover,to-read,2024/07/27,,,0.0,,,,,,,,,,,,,No,3
Don't Believe Her,Nicola Sanders,,9781763659919,digital,read,2025/11/13,2025/11/12,2025/11/12-2025/11/12,1.0,,,,,,,,4.0,,,,,No,3
The House on the Cerulean Sea,TJ Klune,Daniel Henning (Narrator),,audio,read,2026/03/06,2026/03/17,2026/03/06-2026/03/17,1.0,,,,,,,,5.0,,,,,No,3
William,Mason Coile,,9780593719602,hardcover,to-read,2024/09/18,,,0.0,,,,,,,,,,,,,No,3
Lock Every Door,Riley Sager,,9781524745158,digital,read,2025/05/07,2025/05/08,2025/05/06-2025/05/08,1.0,,,,,,,,4.0,,,,,No,3
Fan Service,Rosie Danan,,9780593437179,digital,read,2024/12/31,2025/07/19,2025/07/11-2025/07/19,1.0,,,,,,,,4.0,,,,,Yes,3
The Crimson Crown,Heather Walter,,9780593598368,hardcover,to-read,2024/08/18,,,0.0,,,,,,,,,,,,,No,3
Tell Me What You Did,Carter Wilson,,9781464226236,digital,read,2026/02/26,2026/02/28,2026/02/25-2026/02/28,1.0,,,,,,,,3.75,,,,,No,3
Hearts That Cut,Kika Hatzopoulou,,9780593528754,digital,read,2024/05/21,2025/01/11,2025/01/11,1.0,,,,,,,,4.0,,,,tbr-on-my-shelf,Yes,3
The Wicked Deep,Shea Ernshaw,,9781481497343,hardcover,to-read,2024/06/01,,,0.0,,,,,,,,,,,,tbr-on-my-shelf,Yes,3
"Knock Knock, Open Wide",Neil Sharpson,,9781250785428,hardcover,to-read,2024/07/24,,,0.0,,,,,,,,,,,,,No,3
Wolf Worm,T. Kingfisher,,9781250829825,hardcover,to-read,2026/01/31,,,0.0,,,,,,,,,,,,,No,3
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,,9781595585301,digital,read,2015/05/29,,,1.0,,,,,,,,4.0,,,,,No,3
